gpa,gpa_fct,lieexam,liepaper,fraud,copyexam
NA,NA,FALSE,FALSE,FALSE,FALSE
NA,NA,FALSE,FALSE,FALSE,FALSE
NA,NA,FALSE,FALSE,FALSE,FALSE
NA,NA,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
1,c,FALSE,FALSE,FALSE,FALSE
2,bminus,FALSE,FALSE,FALSE,FALSE
2,bminus,FALSE,FALSE,FALSE,FALSE
2,bminus,FALSE,FALSE,FALSE,FALSE
2,bminus,FALSE,FALSE,FALSE,FALSE
2,bminus,FALSE,FALSE,FALSE,FALSE
2,bminus,FALSE,FALSE,FALSE,FALSE
2,bminus,FALSE,FALSE,FALSE,FALSE
2,bminus,FALSE,FALSE,FALSE,FALSE
2,bminus,FALSE,FALSE,FALSE,FALSE
2,bminus,FALSE,FALSE,FALSE,FALSE
2,bminus,FALSE,FALSE,FALSE,FALSE
2,bminus,FALSE,FALSE,FALSE,FALSE
2,bminus,FALSE,FALSE,FALSE,FALSE
2,bminus,FALSE,FALSE,FALSE,FALSE
2,bminus,FALSE,FALSE,FALSE,FALSE
2,bminus,FALSE,FALSE,FALSE,FALSE
2,bminus,FALSE,FALSE,FALSE,FALSE
